Geohash,GeohashBounds,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Location,Latitude,Longitude,City,County,State,Country,ISO_3166_2,AvgTimeToPark,AvgTimeToParkRatio,TotalSearching,PercentSearching,AvgUniqueGeohashes,AvgTotalGeohashes,CirclingDistribution,HourlyDistribution,SearchingByHour,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,UpdateDate,Version
c2b2q7g,"POLYGON((-123.119659423828 49.2832946777344, -123.118286132812 49.2832946777344, -123.118286132812 49.28466796875, -123.119659423828 49.28466796875, -123.119659423828 49.2832946777344))",49.283,-123.12,49.285,-123.118,POINT(-123.11893 49.28396),49.284,-123.119,Vancouver,,British Columbia,Canada,CA-BC,3.999,1.009,28,0.289,4.536,12.357,"{""c2b2q7s"":0.0652, ""c2b2qk5"":0.0966, ""c2b2q7u"":0.1012, ""c2b2q7f"":0.0983, ""c2b2q7g"":0.1243, ""c2b2qkh"":0.0877, ""c2b2qk4"":0.2865, ""c2b2q7e"":0.0975, ""c2b2q7d"":0.0428}","{""00"": null, ""01"": null, ""02"": 0.0769, ""03"": 0, ""04"": null, ""05"": 0.0769, ""06"": 0.0769, ""07"": 0.0769, ""08"": 0.0769, ""09"": 0.0769, ""10"": 0, ""11"": 0.0769, ""12"": 0.0769, ""13"": 0.0769, ""14"": 0.0769, ""15"": 0.0769, ""16"": 0.0769, ""17"": 0.0769, ""18"": null, ""19"": 0, ""20"": null, ""21"": 0, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": 1, ""03"": 0, ""04"": null, ""05"": 0.2, ""06"": 0.25, ""07"": 0.5, ""08"": 0.3462, ""09"": 0.2143, ""10"": 0, ""11"": 0.4286, ""12"": 0.4167, ""13"": 0.25, ""14"": 0.1905, ""15"": 0.3333, ""16"": 1, ""17"": 1, ""18"": null, ""19"": 0, ""20"": null, ""21"": 0, ""22"": null, ""23"": null}",0.036,0.429,0.429,0.071,0.036,0,02-10-20,2.2
c2b2q6d,"POLYGON((-123.121032714844 49.2764282226562, -123.119659423828 49.2764282226562, -123.119659423828 49.2778015136719, -123.121032714844 49.2778015136719, -123.121032714844 49.2764282226562))",49.276,-123.121,49.278,-123.12,POINT(-123.12041 49.27716),49.277,-123.12,Vancouver,,British Columbia,Canada,CA-BC,3.384,1.878,18,0.391,5.833,14.444,"{""c2b2q6c"":0.083, ""c2b2q6g"":0.0868, ""c2b2q69"":0.0446, ""c2b2q6d"":0.2282, ""c2b2q6f"":0.0899, ""c2b2q66"":0.2284, ""c2b2q6e"":0.1059, ""c2b2q63"":0.0975, ""c2b2q67"":0.0357}","{""00"": 0, ""01"": 0.1111, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": 0, ""07"": 0.1111, ""08"": 0.1111, ""09"": 0.1111, ""10"": 0, ""11"": 0.1111, ""12"": 0.1111, ""13"": 0, ""14"": 0, ""15"": 0.1111, ""16"": null, ""17"": 0, ""18"": 0.1111, ""19"": 0, ""20"": 0, ""21"": 0, ""22"": 0.1111, ""23"": null}","{""00"": 0, ""01"": 1, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": 0, ""07"": 0.5, ""08"": 0.8, ""09"": 1, ""10"": 0, ""11"": 0.3, ""12"": 0.5714, ""13"": 0, ""14"": 0, ""15"": 0.5, ""16"": null, ""17"": 0, ""18"": 1, ""19"": 0, ""20"": 0, ""21"": 0, ""22"": 1, ""23"": null}",0.056,0.556,0.333,0.056,0,0,02-10-20,2.2
c28rvvk,"POLYGON((-123.140258789063 49.2036437988281, -123.138885498047 49.2036437988281, -123.138885498047 49.2050170898438, -123.140258789063 49.2050170898437, -123.140258789063 49.2036437988281))",49.204,-123.14,49.205,-123.139,POINT(-123.13986 49.20457),49.205,-123.14,Vancouver,,British Columbia,Canada,CA-BC,1.908,1.092,10,0.625,4.9,12.4,"{""c28rvvs"":0.0687, ""c28rvv7"":0.2606, ""c28rvvm"":0.1078, ""c28rvve"":0.2501, ""c28rvvk"":0.3129}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0, ""08"": 0.2, ""09"": 0.2, ""10"": 0.2, ""11"": 0.2, ""12"": 0.2, ""13"": 0, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": 0, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0, ""08"": 1, ""09"": 1, ""10"": 1, ""11"": 0.3333, ""12"": 0.75, ""13"": 0, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": 0, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.8,0.2,0,0,0,02-10-20,2.2
c2b2mue,"POLYGON((-123.141632080078 49.2874145507812, -123.140258789063 49.2874145507812, -123.140258789063 49.2887878417969, -123.141632080078 49.2887878417969, -123.141632080078 49.2874145507812))",49.287,-123.142,49.289,-123.14,POINT(-123.14083 49.28804),49.288,-123.141,Vancouver,,British Columbia,Canada,CA-BC,3.285,1.056,13,0.419,4.692,13.539,"{""c2b2mue"":0.1607, ""c2b2muk"":0.0627, ""c2b2muu"":0.0771, ""c2b2mus"":0.0977, ""c2b2mug"":0.1139, ""c2b2mu6"":0.1416, ""c2b2mu7"":0.0631, ""c2b2mud"":0.2063, ""c2b2muf"":0.0768}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0.1379, ""08"": 0.1379, ""09"": 0, ""10"": null, ""11"": 0.1379, ""12"": 0.1379, ""13"": 0.1724, ""14"": 0.1379, ""15"": 0.1379, ""16"": null, ""17"": null, ""18"": 0, ""19"": null, ""20"": null, ""21"": 0, ""22"": null, ""23"": 0}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 1, ""08"": 1, ""09"": 0, ""10"": null, ""11"": 0.3333, ""12"": 0.3, ""13"": 0.8, ""14"": 0.5, ""15"": 0.5, ""16"": null, ""17"": null, ""18"": 0, ""19"": null, ""20"": null, ""21"": 0, ""22"": null, ""23"": 0}",0,0.154,0.692,0.077,0,0.077,02-10-20,2.2
c2b2q20,"POLYGON((-123.123779296875 49.2626953125, -123.122406005859 49.2626953125, -123.122406005859 49.2640686035156, -123.123779296875 49.2640686035156, -123.123779296875 49.2626953125))",49.263,-123.124,49.264,-123.122,POINT(-123.12305 49.26364),49.264,-123.123,Vancouver,,British Columbia,Canada,CA-BC,3.2,1.004,8,0.32,4.875,11,"{""c2b2q23"":0.0726, ""c2b2q22"":0.0412, ""c2b2nrc"":0.1004, ""c2b2q21"":0.1629, ""c2b2q20"":0.2915, ""c2b2q0p"":0.1774, ""c2b2nrb"":0.055, ""c2b2q0r"":0.0385, ""c2b2npz"":0.0605}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": null, ""07"": null, ""08"": 0.2, ""09"": 0.2, ""10"": 0, ""11"": null, ""12"": 0.2, ""13"": 0, ""14"": 0.2, ""15"": 0.2, ""16"": 0, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": 0.75, ""10"": 0, ""11"": null, ""12"": 0.5, ""13"": 0, ""14"": 0.4, ""15"": 0.6667, ""16"": 0, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.5,0.25,0.25,0,0,02-10-20,2.2
c2b2qb1,"POLYGON((-123.100433349609 49.2626953125, -123.099060058594 49.2626953125, -123.099060058594 49.2640686035156, -123.100433349609 49.2640686035156, -123.100433349609 49.2626953125))",49.263,-123.1,49.264,-123.099,POINT(-123.09979 49.26345),49.263,-123.1,Vancouver,,British Columbia,Canada,CA-BC,3.048,1.292,8,0.229,4.25,10,"{""c2b2qb4"":0.1116, ""c2b2nzc"":0.0897, ""c2b2qb0"":0.1513, ""c2b2qb3"":0.1519, ""c2b2qb2"":0.146, ""c2b2qb1"":0.1534, ""c2b2nzb"":0.1961}","{""00"": null, ""01"": 0, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0, ""08"": 0, ""09"": 0.1429, ""10"": null, ""11"": 0, ""12"": 0.1429, ""13"": 0.1429, ""14"": 0.2857, ""15"": 0, ""16"": 0.1429, ""17"": 0, ""18"": 0.1429, ""19"": 0, ""20"": null, ""21"": null, ""22"": null, ""23"": 0}","{""00"": null, ""01"": 0, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0, ""08"": 0, ""09"": 0.5, ""10"": null, ""11"": 0, ""12"": 0.4, ""13"": 0.3333, ""14"": 0.3333, ""15"": 0, ""16"": 1, ""17"": 0, ""18"": 0.3333, ""19"": 0, ""20"": null, ""21"": null, ""22"": null, ""23"": 0}",0.25,0.125,0.25,0,0.125,0.25,02-10-20,2.2
c2b2mbq,"POLYGON((-123.137512207031 49.2640686035156, -123.136138916016 49.2640686035156, -123.136138916016 49.2654418945312, -123.137512207031 49.2654418945312, -123.137512207031 49.2640686035156))",49.264,-123.138,49.265,-123.136,POINT(-123.1368 49.26469),49.265,-123.137,Vancouver,,British Columbia,Canada,CA-BC,3.975,1.238,8,0.258,5,12.75,"{""c2b2mbp"":0.1045, ""c2b2mbn"":0.0316, ""c2b2mbx"":0.1406, ""c2b2mbr"":0.0799, ""c2b2mbt"":0.1698, ""c2b2mbq"":0.139, ""c2b2mbj"":0.188, ""c2b2mbw"":0.0415, ""c2b2mbm"":0.105}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1667, ""07"": null, ""08"": 0.1667, ""09"": 0, ""10"": null, ""11"": 0.1667, ""12"": 0, ""13"": 0.1667, ""14"": 0, ""15"": 0.1667, ""16"": 0.1667, ""17"": 0, ""18"": null, ""19"": null, ""20"": null, ""21"": 0, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 1, ""07"": null, ""08"": 0.1667, ""09"": 0, ""10"": null, ""11"": 0.5, ""12"": 0, ""13"": 0.25, ""14"": 0, ""15"": 0.5, ""16"": 0.2, ""17"": 0, ""18"": null, ""19"": null, ""20"": null, ""21"": 0, ""22"": null, ""23"": null}",0,0.375,0.25,0,0,0.375,02-10-20,2.2
c2b2q5x,"POLYGON((-123.125152587891 49.2819213867188, -123.123779296875 49.2819213867188, -123.123779296875 49.2832946777344, -123.125152587891 49.2832946777344, -123.125152587891 49.2819213867188))",49.282,-123.125,49.283,-123.124,POINT(-123.12444 49.28247),49.282,-123.124,Vancouver,,British Columbia,Canada,CA-BC,3.507,1.121,9,0.257,4.556,10.889,"{""c2b2q78"":0.0491, ""c2b2q5w"":0.0148, ""c2b2q5q"":0.151, ""c2b2q5y"":0.252, ""c2b2q5x"":0.1166, ""c2b2q5r"":0.0273, ""c2b2q7b"":0.2298, ""c2b2q5z"":0.0852, ""c2b2q72"":0.0741}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.125, ""07"": 0.125, ""08"": 0.125, ""09"": 0, ""10"": 0, ""11"": 0.125, ""12"": 0, ""13"": 0.125, ""14"": 0.125, ""15"": 0.125, ""16"": 0, ""17"": 0, ""18"": 0.125, ""19"": 0, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 1, ""07"": 1, ""08"": 0.4, ""09"": 0, ""10"": 0, ""11"": 1, ""12"": 0, ""13"": 0.25, ""14"": 0.3333, ""15"": 0.25, ""16"": 0, ""17"": 0, ""18"": 0.25, ""19"": 0, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.111,0.667,0.111,0.111,0,02-10-20,2.2
c2b2nwy,"POLYGON((-123.104553222656 49.2558288574219, -123.103179931641 49.2558288574219, -123.103179931641 49.2572021484375, -123.104553222656 49.2572021484375, -123.104553222656 49.2558288574219))",49.256,-123.105,49.257,-123.103,POINT(-123.10333 49.25629),49.256,-123.103,Vancouver,,British Columbia,Canada,CA-BC,2.883,1.735,9,0.333,4.222,12.444,"{""c2b2nwz"":0.024, ""c2b2nwx"":0.0579, ""c2b2nwy"":0.0919, ""c2b2nww"":0.1243, ""c2b2nxj"":0.0685, ""c2b2nwt"":0.0634, ""c2b2nwv"":0.0982, ""c2b2nxn"":0.4718}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0, ""08"": null, ""09"": 0, ""10"": 0.2, ""11"": null, ""12"": 0, ""13"": 0.2, ""14"": null, ""15"": 0.2, ""16"": 0.2, ""17"": 0.2, ""18"": 0, ""19"": null, ""20"": null, ""21"": 0, ""22"": 0, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0, ""08"": null, ""09"": 0, ""10"": 0.5, ""11"": null, ""12"": 0, ""13"": 1, ""14"": null, ""15"": 0.25, ""16"": 0.5, ""17"": 0.5, ""18"": 0, ""19"": null, ""20"": null, ""21"": 0, ""22"": 0, ""23"": null}",0,0.111,0.889,0,0,0,02-10-20,2.2
c2b2qff,"POLYGON((-123.099060058594 49.2778015136719, -123.097686767578 49.2778015136719, -123.097686767578 49.2791748046875, -123.099060058594 49.2791748046875, -123.099060058594 49.2778015136719))",49.278,-123.099,49.279,-123.098,POINT(-123.09879 49.27839),49.278,-123.099,Vancouver,,British Columbia,Canada,CA-BC,2.895,1.082,13,0.464,4.462,9.385,"{""c2b2qff"":0.1171, ""c2b2qfg"":0.0677, ""c2b2qf9"":0.1748, ""c2b2qfc"":0.0749, ""c2b2qg4"":0.0683, ""c2b2qfd"":0.028, ""c2b2qfe"":0.1145, ""c2b2qg5"":0.1958, ""c2b2qg1"":0.1588}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": null, ""08"": 0, ""09"": 0.1429, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0.1429, ""14"": null, ""15"": 0, ""16"": 0.1429, ""17"": 0.1429, ""18"": 0.1429, ""19"": 0.1429, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.1429}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": null, ""08"": 0, ""09"": 0.3333, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0.5, ""14"": null, ""15"": 0, ""16"": 0.5, ""17"": 1, ""18"": 1, ""19"": 0.75, ""20"": null, ""21"": null, ""22"": null, ""23"": 1}",0.154,0.615,0.231,0,0,0,02-10-20,2.2
c2b2mbn,"POLYGON((-123.137512207031 49.2626953125, -123.136138916016 49.2626953125, -123.136138916016 49.2640686035156, -123.137512207031 49.2640686035156, -123.137512207031 49.2626953125))",49.263,-123.138,49.264,-123.136,POINT(-123.13657 49.26352),49.264,-123.137,Vancouver,,British Columbia,Canada,CA-BC,3.523,1.377,8,0.267,4.625,11,"{""c2b2mbr"":0.0037, ""c2b2mbj"":0.1517, ""c2b2mbq"":0.2621, ""c2b2jzz"":0.0802, ""c2b2mbn"":0.2415, ""c2b2jzv"":0.046, ""c2b2mbm"":0.0709, ""c2b2mbp"":0.0867, ""c2b2jzy"":0.0572}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0, ""05"": 0.1667, ""06"": null, ""07"": 0, ""08"": null, ""09"": 0, ""10"": null, ""11"": 0, ""12"": 0.1667, ""13"": 0.1667, ""14"": 0.1667, ""15"": 0.1667, ""16"": 0, ""17"": null, ""18"": 0.1667, ""19"": 0, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0, ""05"": 0.3333, ""06"": null, ""07"": 0, ""08"": null, ""09"": 0, ""10"": null, ""11"": 0, ""12"": 0.25, ""13"": 0.4, ""14"": 1, ""15"": 0.3333, ""16"": 0, ""17"": null, ""18"": 1, ""19"": 0, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0.375,0.25,0.375,0,0,0,02-10-20,2.2
c2b2qc8,"POLYGON((-123.101806640625 49.2709350585938, -123.100433349609 49.2709350585938, -123.100433349609 49.2723083496094, -123.101806640625 49.2723083496094, -123.101806640625 49.2709350585938))",49.271,-123.102,49.272,-123.1,POINT(-123.10107 49.27187),49.272,-123.101,Vancouver,,British Columbia,Canada,CA-BC,3.758,1.165,14,0.237,4.857,12.714,"{""c2b2qc8"":0.1829, ""c2b2qcb"":0.2046, ""c2b2qc9"":0.0796, ""c2b2q9r"":0.1069, ""c2b2q9z"":0.0048, ""c2b2qc3"":0.0668, ""c2b2q9x"":0.082, ""c2b2qcc"":0.1607, ""c2b2qc2"":0.1118}","{""00"": null, ""01"": null, ""02"": 0, ""03"": 0.1, ""04"": null, ""05"": 0, ""06"": 0, ""07"": 0.1, ""08"": 0.1, ""09"": 0.1, ""10"": 0, ""11"": 0.1, ""12"": 0, ""13"": null, ""14"": 0.1, ""15"": null, ""16"": 0.1, ""17"": 0.1, ""18"": 0.1, ""19"": 0, ""20"": null, ""21"": null, ""22"": 0, ""23"": 0.1}","{""00"": null, ""01"": null, ""02"": 0, ""03"": 1, ""04"": null, ""05"": 0, ""06"": 0, ""07"": 0.0556, ""08"": 0.125, ""09"": 0.25, ""10"": 0, ""11"": 0.4, ""12"": 0, ""13"": null, ""14"": 0.3333, ""15"": null, ""16"": 0.75, ""17"": 0.5, ""18"": 1, ""19"": 0, ""20"": null, ""21"": null, ""22"": 0, ""23"": 0.25}",0.143,0.071,0.643,0.071,0.071,0,02-10-20,2.2
c2b2qk5,"POLYGON((-123.119659423828 49.28466796875, -123.118286132812 49.28466796875, -123.118286132812 49.2860412597656, -123.119659423828 49.2860412597656, -123.119659423828 49.28466796875))",49.285,-123.12,49.286,-123.118,POINT(-123.11898 49.28531),49.285,-123.119,Vancouver,,British Columbia,Canada,CA-BC,3.536,1.002,23,0.232,4.565,11.913,"{""c2b2qkh"":0.0362, ""c2b2qkk"":0.196, ""c2b2qk5"":0.1312, ""c2b2q7u"":0.1386, ""c2b2qk4"":0.2153, ""c2b2qk7"":0.0543, ""c2b2qk6"":0.1012, ""c2b2q7f"":0.0515, ""c2b2q7g"":0.0759}","{""00"": null, ""01"": 0, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": 0.1, ""07"": 0.1, ""08"": 0, ""09"": 0.1, ""10"": 0.1, ""11"": 0.15, ""12"": 0.15, ""13"": 0.1, ""14"": 0.1, ""15"": 0.1, ""16"": 0, ""17"": null, ""18"": 0, ""19"": 0, ""20"": null, ""21"": 0, ""22"": null, ""23"": 0}","{""00"": null, ""01"": 0, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": 0.3333, ""07"": 0.3333, ""08"": 0, ""09"": 0.1667, ""10"": 0.303, ""11"": 0.25, ""12"": 0.3333, ""13"": 0.3333, ""14"": 0.5, ""15"": 0.3889, ""16"": 0, ""17"": null, ""18"": 0, ""19"": 0, ""20"": null, ""21"": 0, ""22"": null, ""23"": 0}",0.044,0.217,0.435,0,0,0.304,02-10-20,2.2
c2b2q58,"POLYGON((-123.134765625 49.2819213867188, -123.133392333984 49.2819213867188, -123.133392333984 49.2832946777344, -123.134765625 49.2832946777344, -123.134765625 49.2819213867188))",49.282,-123.135,49.283,-123.133,POINT(-123.13419 49.28257),49.283,-123.134,Vancouver,,British Columbia,Canada,CA-BC,3.372,1.716,12,0.353,4.167,11.5,"{""c2b2mgx"":0.144, ""c2b2q53"":0.134, ""c2b2q52"":0.0244, ""c2b2mgz"":0.4191, ""c2b2q58"":0.1117, ""c2b2q5c"":0.0642, ""c2b2q5b"":0.0661, ""c2b2mgr"":0.0365}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0, ""08"": 0.1, ""09"": 0.2, ""10"": 0.1, ""11"": 0.1, ""12"": 0.1, ""13"": 0.1, ""14"": 0, ""15"": 0.1, ""16"": null, ""17"": 0, ""18"": null, ""19"": 0.1, ""20"": null, ""21"": null, ""22"": 0.1, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0, ""07"": 0, ""08"": 0.3333, ""09"": 0.3333, ""10"": 0.25, ""11"": 0.3333, ""12"": 0.5, ""13"": 0.6667, ""14"": 0, ""15"": 0.5, ""16"": null, ""17"": 0, ""18"": null, ""19"": 1, ""20"": null, ""21"": null, ""22"": 1, ""23"": null}",0.083,0.25,0.333,0,0.333,0,02-10-20,2.2
c2b2q2h,"POLYGON((-123.118286132812 49.2626953125, -123.116912841797 49.2626953125, -123.116912841797 49.2640686035156, -123.118286132812 49.2640686035156, -123.118286132812 49.2626953125))",49.263,-123.118,49.264,-123.117,POINT(-123.11741 49.26336),49.263,-123.117,Vancouver,,British Columbia,Canada,CA-BC,3.228,1.665,9,0.209,4.333,11.778,"{""c2b2q2j"":0.0887, ""c2b2nru"":0.0939, ""c2b2nrg"":0.1199, ""c2b2q2h"":0.2997, ""c2b2q27"":0.1079, ""c2b2nrv"":0.0779, ""c2b2q2k"":0.1086, ""c2b2q25"":0.1034}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.125, ""06"": 0.125, ""07"": 0.125, ""08"": 0.125, ""09"": 0, ""10"": 0.125, ""11"": 0.125, ""12"": 0, ""13"": 0.125, ""14"": 0, ""15"": 0.125, ""16"": 0, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 1, ""06"": 0.25, ""07"": 0.3333, ""08"": 0.2, ""09"": 0, ""10"": 0.4, ""11"": 0.3333, ""12"": 0, ""13"": 0.25, ""14"": 0, ""15"": 0.2, ""16"": 0, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0.111,0.667,0,0.111,0.111,02-10-20,2.2
c2b2q71,"POLYGON((-123.122406005859 49.2791748046875, -123.121032714844 49.2791748046875, -123.121032714844 49.2805480957031, -123.122406005859 49.2805480957031, -123.122406005859 49.2791748046875))",49.279,-123.122,49.281,-123.121,POINT(-123.12155 49.27999),49.28,-123.122,Vancouver,,British Columbia,Canada,CA-BC,3.668,1.191,14,0.359,4.214,9.857,"{""c2b2q6c"":0.1101, ""c2b2q70"":0.1263, ""c2b2q73"":0.1388, ""c2b2q76"":0.176, ""c2b2q6f"":0.0117, ""c2b2q71"":0.169, ""c2b2q72"":0.0815, ""c2b2q74"":0.1301, ""c2b2q6b"":0.0564}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0, ""04"": null, ""05"": 0.1333, ""06"": null, ""07"": 0, ""08"": 0.1333, ""09"": 0, ""10"": 0.2, ""11"": 0, ""12"": 0.1333, ""13"": 0.1333, ""14"": 0.1333, ""15"": 0.1333, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": 0, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0, ""04"": null, ""05"": 1, ""06"": null, ""07"": 0, ""08"": 0.5, ""09"": 0, ""10"": 0.65, ""11"": 0, ""12"": 0.6667, ""13"": 0.25, ""14"": 1, ""15"": 0.5, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": 0, ""21"": null, ""22"": null, ""23"": null}",0.214,0.286,0.286,0.143,0,0.071,02-10-20,2.2
c2b2r6c,"POLYGON((-123.078460693359 49.2778015136719, -123.077087402344 49.2778015136719, -123.077087402344 49.2791748046875, -123.078460693359 49.2791748046875, -123.078460693359 49.2778015136719))",49.278,-123.078,49.279,-123.077,POINT(-123.07773 49.27887),49.279,-123.078,Vancouver,,British Columbia,Canada,CA-BC,2.805,1.23,13,0.069,4.462,10.308,"{""c2b2r6f"":0.0276, ""c2b2r71"":0.0908, ""c2b2r74"":0.2759, ""c2b2r6c"":0.2093, ""c2b2r6d"":0.0414, ""c2b2r69"":0.1083, ""c2b2r70"":0.0812, ""c2b2r68"":0.0674, ""c2b2r6b"":0.0981}","{""00"": null, ""01"": null, ""02"": 0, ""03"": null, ""04"": null, ""05"": 0, ""06"": 0.2, ""07"": 0.2, ""08"": 0.2, ""09"": 0, ""10"": 0, ""11"": 0.2, ""12"": 0, ""13"": 0.2, ""14"": 0, ""15"": 0, ""16"": 0, ""17"": 0, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}","{""00"": null, ""01"": null, ""02"": 0, ""03"": null, ""04"": null, ""05"": 0, ""06"": 0.2679, ""07"": 0.1131, ""08"": 0.0179, ""09"": 0, ""10"": 0, ""11"": 0.125, ""12"": 0, ""13"": 0.2, ""14"": 0, ""15"": 0, ""16"": 0, ""17"": 0, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0.077,0.539,0.308,0.077,0,0,02-10-20,2.2
c2b2ns7,"POLYGON((-123.108673095703 49.2420959472656, -123.107299804687 49.2420959472656, -123.107299804687 49.2434692382812, -123.108673095703 49.2434692382812, -123.108673095703 49.2420959472656))",49.242,-123.109,49.243,-123.107,POINT(-123.10804 49.24308),49.243,-123.108,Vancouver,,British Columbia,Canada,CA-BC,2.155,1.857,11,0.524,4.182,10.727,"{""c2b2nss"":0.1663, ""c2b2ns6"":0.133, ""c2b2ns5"":0.0665, ""c2b2nsh"":0.1108, ""c2b2nsk"":0.0055, ""c2b2ns7"":0.5031, ""c2b2nse"":0.0148}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": null, ""07"": 0.375, ""08"": 0.125, ""09"": 0.125, ""10"": 0, ""11"": null, ""12"": 0.125, ""13"": null, ""14"": 0.125, ""15"": null, ""16"": 0, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": 0.125, ""23"": null}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0, ""06"": null, ""07"": 0.5, ""08"": 0.25, ""09"": 0.6667, ""10"": 0, ""11"": null, ""12"": 1, ""13"": null, ""14"": 1, ""15"": null, ""16"": 0, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": 1, ""23"": null}",0,0.273,0.636,0,0.091,0,02-10-20,2.2
